Commit,Date,related,PR/Issue,Root Cause,Impact,Fixing pattern,Fixing element
https://github.com/pytorch/pytorch/commit/d3bf6803b62c79f1dafd1eec49b4bd65d5a27697,2023-10-27 13:15:03,1,https://github.com/pytorch/pytorch/pull/112025,missing tensor tracking,unknown,Add sanity checks for tensor tracking,tensor
https://github.com/pytorch/pytorch/commit/27cf49549a35dd78475098b7de02c0a5ab1367ea,2023-10-26 17:13:05,0,,,,,
https://github.com/pytorch/pytorch/commit/e574a8ab55b2ac4266211d30d98d32d8b849ea86,2023-10-24 21:18:32,1,https://github.com/pytorch/pytorch/pull/111913,missing tensor tracking,unknown,Add sanity checks for tensor tracking,
https://github.com/pytorch/pytorch/commit/9b499b417ec9a4a1204c450ca20ab60c536f6d94,2023-10-20 19:37:57,0,,,,,
https://github.com/pytorch/pytorch/commit/5ce2ab84661778d60b9e270705ff84540ed98837,2023-10-19 2:00:15,0,,,,,
https://github.com/pytorch/pytorch/commit/e708de83b99a4fa68c42841ff04a042be20c17b5,2023-10-17 17:12:34,0,,,,,
https://github.com/pytorch/pytorch/commit/ff432c048d353ff6944ccf50591c171372a924f7,2023-10-16 14:31:38,0,,,,,
https://github.com/pytorch/pytorch/commit/bb89a9e48c869b3056a42d026f963c2ce4fb41a4,2023-10-13 20:10:01,0,,,,,
https://github.com/pytorch/pytorch/commit/097defb1608827d82b18b27adeec0a98b72a9281,2023-10-11 23:37:18,1,https://github.com/pytorch/pytorch/pull/111091,insufficient device checks,unknown,augment device checks,device type
https://github.com/pytorch/pytorch/commit/9316c8b4bc5e449705e945a3069f35b690d70140,2023-10-11 23:28:27,0,,,,,
https://github.com/pytorch/pytorch/commit/07f0f383fa23e63eca164036ab58ab983e9437eb,2023-10-11 22:14:38,1,https://github.com/pytorch/pytorch/pull/111087,improper type checking,incorrect functionality,update type checking,tensor
https://github.com/pytorch/pytorch/commit/52e76a305677dfaf26cd5d59bd1aa239375f833c,2023-10-11 17:26:41,1,https://github.com/pytorch/pytorch/pull/110962,missing checking tensor element,incorrect functionality,add checker for tensor elements,tensor element
https://github.com/pytorch/pytorch/commit/468a73f0e3527c52495c864c7d48dc26684f6c0b,2023-10-09 21:46:33,1,https://github.com/pytorch/pytorch/pull/110778,missing type checking,TypeError,add type checking,numpy object
https://github.com/pytorch/pytorch/commit/6b4c686b9a33a1503a4a4133f9067dd31e0822f7,2023-10-08 0:06:44,1,https://github.com/pytorch/pytorch/pull/110715,improper cuda version check,incorrect functionality,remove the cuda version check,cuda version
https://github.com/pytorch/pytorch/commit/59592ce9f208fc80be89cef5fa5ad1719c61a619,2023-10-06 17:42:24,0,,,,,
https://github.com/pytorch/pytorch/commit/a8653f35de02c7fb038e3c184dda6e67a12a39e2,2023-10-04 22:42:57,1,https://github.com/pytorch/pytorch/pull/110294,missing device checks,performance  bug,add device checks,tensor device
https://github.com/pytorch/pytorch/commit/e1cfcdfa06d476fb7c6dc9be1b677b23569d4ed6,2023-10-04 18:56:42,0,,,,,
https://github.com/pytorch/pytorch/commit/64416a1fc75bd101fe3e67bd03b8fa645b102149,2023-10-04 0:54:10,0,,,,,
https://github.com/pytorch/pytorch/commit/fd6c993eeaacda7ef6b83f59ad3474aed0d52eaf,2023-10-02 13:34:31,1,https://github.com/pytorch/pytorch/pull/110368,missing device checks,incorrect functionality,add device checks,tensor device
https://github.com/pytorch/pytorch/commit/7f5737392d637a22d555a88a8546d8fc7ab31084,2023-09-28 11:45:05,1,https://github.com/pytorch/pytorch/pull/110138,Misinterpretation of Control Flow Conditions,incorrect functionality,Ensure Proper Initialization of Control Variables,Control Variables
https://github.com/pytorch/pytorch/commit/ad0ba5e187bcfa32f40b8fb23b85b9e44f3e0a56,2023-09-28 10:50:57,0,,,,,
https://github.com/pytorch/pytorch/commit/dd819138da4954eaf85ae095c860bdb094ae7321,2023-09-26 2:08:17,1,https://github.com/pytorch/pytorch/pull/109936,missing device checks,unknown,add device checks,vulkan tensor
https://github.com/pytorch/pytorch/commit/c4f2b6dbd2c80f0c02bb391998d0df2a84fad8b4,2023-09-25 16:17:25,0,,,,,
https://github.com/pytorch/pytorch/commit/6b39cf863f460ae23073514374b2950a562a5cbc,2023-09-25 14:21:18,0,,,,,
https://github.com/pytorch/pytorch/commit/2872f788aabc094d5011580f71bdf1b31554bac3,2023-09-23 3:07:22,0,,,,,
https://github.com/pytorch/pytorch/commit/2512017814fb2e3d6f3ae9dd3b315692ffc8fc71,2023-09-22 10:26:33,1,https://github.com/pytorch/pytorch/pull/108439,redundant module buffer check,out of bound read,consolidate module buffer validation,module buffer
https://github.com/pytorch/pytorch/commit/175ccfc4c8443bcc65c87d9c942272d3ebf16b0b,2023-09-21 19:19:17,1,https://github.com/pytorch/pytorch/pull/109794,uninitialized flatbuffer module fields,unknown,add validation for flatbuffer module fields,module buffer
https://github.com/pytorch/pytorch/commit/7e05cd4ecaa037a81c5f54613da68d03f5605b4d,2023-09-20 14:53:59,0,,,,,
https://github.com/pytorch/pytorch/commit/db6e9f66f11e44266994b849badc94c5bf566a66,2023-09-20 12:44:09,0,,,,,
https://github.com/pytorch/pytorch/commit/d271a5c796b7b6358b62ee2a7e0a0763fca9d3c3,2023-09-20 2:23:46,0,,,,,
https://github.com/pytorch/pytorch/commit/871b5caae76185cff141c522b3133e7543c8dabf,2023-09-18 20:10:51,1,https://github.com/pytorch/pytorch/pull/109499,incorrect hpu deserialization logic,breaks serialization/deserialization functionality for third-party libraries like IPEX,add conditional check,IPEX
https://github.com/pytorch/pytorch/commit/9a95b4bc7bbc66f0513d01e1c2af8e1ead5c1077,2023-09-16 16:53:55,1,https://github.com/pytorch/pytorch/pull/109428,insufficient type check,unknown,switch to direct instance type check,argument schema
https://github.com/pytorch/pytorch/commit/55c19a3c6d38a49fe34e008c4c566445c43810f0,2023-09-16 6:02:56,1,https://github.com/pytorch/pytorch/pull/109097,improper correctness check,incorrect functionality,adjust correctness check,multiplier
https://github.com/pytorch/pytorch/commit/4ee179c9528c8c6aae17a01f2b0d7e8235219219,2023-09-15 20:07:19,1,https://github.com/pytorch/pytorch/pull/109388,insufficient dependency handling,incorrect functionality,add check for dependency availability,numpy
https://github.com/pytorch/pytorch/commit/f7574ea43f4f3ae0deda5b94ec8aa0468dd07225,2023-09-14 15:39:10,0,,,,,
https://github.com/pytorch/pytorch/commit/62732bdcdb8b6112e01366d4ad1c2a50e61da1ed,2023-09-13 21:40:49,1,https://github.com/pytorch/pytorch/pull/109234,improper checking on nodes in computation graph,,adding computation graph node checking,computation graph
https://github.com/pytorch/pytorch/commit/027e3b7910fade8950038fb5044a548319510600,2023-09-06 21:51:02,1,https://github.com/pytorch/pytorch/pull/108700,missing check on tensor edge cases,incorrect functionality,add check for edge cases on tensor,tensor
https://github.com/pytorch/pytorch/commit/8a76f8e6fe96fe9ec74b8b2e9f4cfb0ddc0de777,2023-09-06 15:43:07,0,,,,,
https://github.com/pytorch/pytorch/commit/d471eaeb1d2fbc7efcde6408d7d1e513b969af25,2023-09-05 20:02:42,1,https://github.com/pytorch/pytorch/pull/108573,missing null pointer checker,null pointer dereference ,add checker for null pointer,buffer
https://github.com/pytorch/pytorch/commit/eb8659fe81f3d4b061674bf149a6805cd292db8d,2023-08-31 16:21:20,1,https://github.com/pytorch/pytorch/pull/108328,missing numeric checks,incorrect functionality,add tolerance for cuda accuracy check,floating point
https://github.com/pytorch/pytorch/commit/e31038d574712d383fdc4c2f1bb63fc82f256ed0,2023-08-30 10:55:18,1,https://github.com/pytorch/pytorch/pull/108167,missing type checking,incorrect functionality,add type checking,tensor data type
https://github.com/pytorch/pytorch/commit/ca7249b80a90cfac83fb26fd99ae1963971924be,2023-08-30 9:16:04,2,,,,,
https://github.com/pytorch/pytorch/commit/68b518c13e128997a0c7c9ab8ce9508cc4062e3a,2023-08-29 14:25:11,2,,,,,
https://github.com/pytorch/pytorch/commit/cd4f74fb2e86b6ce3408928daaa59e817031307e,2023-08-28 19:30:34,2,,,,,
https://github.com/pytorch/pytorch/commit/c85c5954f280d086567943a6380f231cc45998ef,2023-08-26 13:19:41,2,,,,,
https://github.com/pytorch/pytorch/commit/087c0613c300ee5b8b8159353d70cca45d48dc0e,2023-08-25 13:59:16,2,,,,,
https://github.com/pytorch/pytorch/commit/0156eeb56488dc203180bd19645f3c26e5a50f42,2023-08-24 12:00:29,2,,,,,
https://github.com/pytorch/pytorch/commit/6ec2ec845c6d029f0526ffcb3fcce7ffa329cbb7,2023-08-24 2:32:51,2,,,,,
https://github.com/pytorch/pytorch/commit/6f0d0b3850db984e73aad91daf75e65272301e8d,2023-08-23 11:34:40,2,,,,,
https://github.com/pytorch/pytorch/commit/4a40e27583bee2331c8f0968e286bee7b50578a0,2023-08-23 3:11:31,2,,,,,
https://github.com/pytorch/pytorch/commit/d0f8ee45bdd3d68895dfecf38b39c363ebf82483,2023-08-23 1:51:51,2,,,,,
https://github.com/pytorch/pytorch/commit/4d13422997fc89c9451c6ddf7ab62e81f5885d99,2023-08-22 18:33:37,2,,,,,
https://github.com/pytorch/pytorch/commit/d2215f14ba1cd45c79f778a804a6125f140461b3,2023-08-22 8:38:05,2,,,,,
https://github.com/pytorch/pytorch/commit/3b160ecc71eaed3db64cac53ef9089bea876b6d3,2023-08-20 22:04:37,2,,,,,
https://github.com/pytorch/pytorch/commit/24f0b552e1263d30e877d035116bb2b45e275019,2023-08-19 22:16:56,2,,,,,
https://github.com/pytorch/pytorch/commit/266772472e7e908f04475bc25a2ad96d64c54e0c,2023-08-17 18:41:22,2,,,,,
https://github.com/pytorch/pytorch/commit/e9af315e02d42ca2075972212e1c5e644620901c,2023-08-16 23:08:07,2,,,,,
https://github.com/pytorch/pytorch/commit/ba6fcc4eae2bdcf6e40d25c99b8150509adf5cba,2023-08-16 15:52:12,2,,,,,
https://github.com/pytorch/pytorch/commit/8093349d42846a78c6245b3c6880bb5025451a6a,2023-08-09 23:11:00,2,,,,,
https://github.com/pytorch/pytorch/commit/088e3166596811cb433627ccb5ae72712048087c,2023-08-09 3:51:02,2,,,,,
https://github.com/pytorch/pytorch/commit/3a300ed84efa8e458df02ee4f92532667cefbe29,2023-08-08 13:16:18,2,,,,,
https://github.com/pytorch/pytorch/commit/3a07dfde488ba974dc7ed7f8f24e9bcf64ada053,2023-08-07 14:00:50,2,,,,,
https://github.com/pytorch/pytorch/commit/b283e9315845300a1e4e74bb8bc2c68dfe128875,2023-08-03 20:40:56,2,,,,,
https://github.com/pytorch/pytorch/commit/578d9fee429325bd6bbf8b4c5bf3c46ab18953e1,2023-08-03 15:17:10,2,,,,,
https://github.com/pytorch/pytorch/commit/77e369b363c1e908bfe1c554de615307661df93d,2023-08-02 23:34:04,2,,,,,
https://github.com/pytorch/pytorch/commit/04f20bb28581c2a3895c09feeebb37401b0c2fc7,2023-08-02 0:03:58,2,,,,,
https://github.com/pytorch/pytorch/commit/5e3aca6c5c8218452116f60eb537ce09528e015c,2023-08-01 19:28:23,2,,,,,
https://github.com/pytorch/pytorch/commit/f456c504b9689ed8af2a9b4ebeb514771643bdc0,2023-07-31 22:34:30,2,,,,,
https://github.com/pytorch/pytorch/commit/0dc251323d19b240cfb4c6da7699ac7b793640d7,2023-07-31 14:03:12,2,,,,,
https://github.com/pytorch/pytorch/commit/eab3b2637a1bbaea7539238c8fe803f69f3ea5ae,2023-07-30 9:48:22,2,,,,,
https://github.com/pytorch/pytorch/commit/505dd319efb5dec99c66aa9f3200e814aeb68a9b,2023-07-28 17:54:07,2,,,,,
https://github.com/pytorch/pytorch/commit/32844be3cf7b432e49b7226b38ac22d25d5c16d4,2023-07-28 1:04:00,2,,,,,
https://github.com/pytorch/pytorch/commit/efeb46e507eb7827e0fb5751d9556f31bafa8300,2023-07-28 1:02:27,2,,,,,
https://github.com/pytorch/pytorch/commit/d4136c90882337a0891f5216292e9e3d55c13262,2023-07-27 16:42:01,2,,,,,
https://github.com/pytorch/pytorch/commit/70bc1b0f48bc4b9d564565aa61dc547dd8aa2a8e,2023-07-27 15:40:18,2,,,,,
https://github.com/pytorch/pytorch/commit/377f306b4c22b569588b7d56b8d394a6f985df2f,2023-07-27 11:34:02,2,,,,,
https://github.com/pytorch/pytorch/commit/a1d0db1c60b746c1c9f2500bb231c528a461eda5,2023-07-27 2:03:31,2,,,,,
https://github.com/pytorch/pytorch/commit/06dd850dd5facc86407382d6c41340df569eec64,2023-07-26 21:18:25,2,,,,,
https://github.com/pytorch/pytorch/commit/854fe470cdc78873268bf3b8c8d392173f2aac8e,2023-07-26 8:04:01,2,,,,,
https://github.com/pytorch/pytorch/commit/8399cf9bfe0649ec607b3f9ece0011945cae1209,2023-07-20 18:45:43,2,,,,,
https://github.com/pytorch/pytorch/commit/39477f7ca977f6beac90d7c6708849f54f737a4f,2023-07-18 19:49:45,2,,,,,
https://github.com/pytorch/pytorch/commit/78829d6e07c7aaf847b83867c0924bfb467c0f99,2023-07-18 17:16:05,2,,,,,
https://github.com/pytorch/pytorch/commit/2ba9b5644908e1213132cfaa033394808985a09f,2023-07-18 0:21:59,2,,,,,
https://github.com/pytorch/pytorch/commit/ca472057835c131d6e69673948aa58f531b29534,2023-07-17 12:05:54,2,,,,,
https://github.com/pytorch/pytorch/commit/05854212dd0ab00703368a89f4298b618d2ec1a0,2023-07-17 11:41:39,2,,,,,
https://github.com/pytorch/pytorch/commit/9942a14e96c539cb0195475d2cd660dcdc274123,2023-07-14 0:09:17,2,,,,,
https://github.com/pytorch/pytorch/commit/0a20233e5bf495d06bb0c47e671cdcbbaede7b79,2023-07-12 22:21:27,2,,,,,
https://github.com/pytorch/pytorch/commit/48a49b2683ffa21eb1b472e503c129c043c18f87,2023-07-10 15:00:47,2,,,,,
https://github.com/pytorch/pytorch/commit/26108d5d2b68d844ee8b081e2f085540151fae62,2023-07-08 16:20:55,2,,,,,
https://github.com/pytorch/pytorch/commit/db1ac4e29b0f557711190c8d49d4afb5da1844e8,2023-07-06 5:52:48,2,,,,,
https://github.com/pytorch/pytorch/commit/0cee4e3c3234d0354d714651dad143077d4bb8cd,2023-07-05 15:01:50,2,,,,,
https://github.com/pytorch/pytorch/commit/2abbed42ee945074bab1e57c4c00b97edf4f593b,2023-07-04 18:56:03,2,,,,,
https://github.com/pytorch/pytorch/commit/a5ca445f7953711bc90c111c3cad2ec87f02e74a,2023-06-30 18:53:49,2,,,,,
https://github.com/pytorch/pytorch/commit/ee19121931659494164afddee893d5f7170d5cf6,2023-06-28 12:14:36,2,,,,,
https://github.com/pytorch/pytorch/commit/6493519fffab8648ca4803fc1d084e06805540d3,2023-06-28 7:08:47,2,,,,,
https://github.com/pytorch/pytorch/commit/148960b8cc20e7e59878d01f48a80bde443ed160,2023-06-28 3:17:08,2,,,,,
https://github.com/pytorch/pytorch/commit/a69f427f957a37eee9c1dd5df681f30ab38ed3e4,2023-06-26 18:01:27,2,,,,,
https://github.com/pytorch/pytorch/commit/b3ace213f240dc0f0f2a738f825f46e0d0dffca4,2023-06-23 20:49:14,2,,,,,
https://github.com/pytorch/pytorch/commit/8b37821813b60a3ce2ae92e7a06057183578a450,2023-06-20 17:01:57,2,,,,,
https://github.com/pytorch/pytorch/commit/df814484f42044fdf8070f42585e0b5bcc5aea45,2023-06-16 10:19:37,2,,,,,
https://github.com/pytorch/pytorch/commit/b287cb816c1ac52165920a121c98643c08d31ff7,2023-06-15 23:56:39,2,,,,,
https://github.com/pytorch/pytorch/commit/8340762211e3b55caa178bac748bd902249f6fc0,2023-06-13 22:13:05,2,,,,,
https://github.com/pytorch/pytorch/commit/6cc0f1c20c2f87a6c7b0e4abd5419e5007920999,2023-06-13 19:54:45,2,,,,,
https://github.com/pytorch/pytorch/commit/bc2caa7fdf006894eff7af936babde69ab5a40f8,2023-06-13 17:37:32,2,,,,,
https://github.com/pytorch/pytorch/commit/88ebb2e321b7a263c9495313a43a593b486ac299,2023-06-12 23:21:35,2,,,,,
https://github.com/pytorch/pytorch/commit/2e21cb095a04dccb1900367623b4ca59ddcf26a2,2023-06-09 12:13:09,2,,,,,
https://github.com/pytorch/pytorch/commit/c62fcedc4412ac9b04f3b1fa13872995c4d7d043,2023-06-08 15:14:14,2,,,,,
https://github.com/pytorch/pytorch/commit/2dafa70d61a1a5af849ab79c7aed4c84686337a0,2023-06-07 10:40:12,2,,,,,
https://github.com/pytorch/pytorch/commit/02dd1f38f289ec1cadef086f7bc0fcc15666a928,2023-06-02 18:33:29,2,,,,,
https://github.com/pytorch/pytorch/commit/3ef4d697df5bfdbd27dfc7a79c0679da2b87e3af,2023-05-30 15:22:37,2,,,,,
https://github.com/pytorch/pytorch/commit/704283d61ffd5578b73dbf52859acbbae85d13a4,2023-05-30 14:35:18,2,,,,,
https://github.com/pytorch/pytorch/commit/999bae0f54108ffc5b7cf2524a02a83901554b16,2023-05-30 1:07:59,2,,,,,
