Library,Commit,Root Cause,Date,bug report,PR/Issue,Violation,Impact,Action,condition,Fixing element,Fixing element detail,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/893aa7518fe3175739ac1ba70d7355a0b091115c,Null Value,2023-10-13 16:12:05,Added a null check in string_util.cc ,,Missing,Program Crash,add,If Checker,Object is Not Null,Regular Object,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/63feaf321165e1e2795f43e3834c007364921df6,Edge Cases,2023-09-29 7:53:21,Add check for raster bits.,,Missing,Program Crash,add,If Checker,Others,Integer Variable,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/450dec35448a73b3fcb5d4f82108d5fdcb3f59b4,Boundary Value,2023-09-25 19:10:37,"Internal change, add some checks on the sparseTensor format checking.",,Missing,Program Crash,add,If Checker,In Range Tensor Indexing,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/11030308c5d25df5b36f8a583f1b4607e4ea2b7f,Edge Cases,2023-08-25 13:18:19, Add a check to check if all sharding strategies are dropped due to infinity costs,,Missing,Performance Degradation,add,Macro Checker,Valid Integer Argument,Integer Variable,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/5322fd40cd58cfa8c551e602fede7a3be19fff95,Edge Cases,2023-08-24 19:12:36," [PJRT] Fix checking for output sharding. Output sharding for empty tuple needs to have one ""replicated"" element.",,Missing,Performance Degradation,add,Macro Checker,Tensor is Not Empty,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/e56206755ff0c98269eb3e50c98fccbaadb6884d,Tensor Quantization,2023-08-21 21:50:57, Support quantized i64 during flatbuffer import. Sometimes tflite flatbuffer represent `i32` quantized values as `i64`s. In these cases we should truncate down to a lower bit width to avoid creating illegal types. We check the bitwidth of the type at load time and pick a power-of-2 bit width where the value can be safely truncated.,,Missing,Numerical Error,add,If Checker,Valid Tensor Quantization,Tensor,,,‍
tensorflow,https://github.com/tensorflow/tensorflow/commit/f636be3bb1f556c15dba3028e61a8969d90dadd9,Error Message,2023-08-16 14:23:04,Return error on invalid input in tfl.sign_custom,,Misleading,Confusing Error Message,improve,Macro Checker,Improve Error Message,Error Message,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/43fd10302bcc8447e7a7205bae848a3a88624775,Edge Cases,2023-08-14 11:27:11,Return error on invalid input in tfl.atan2_custom,,Missing,Unexpected Behavior,add,Assertion Statement,Others,Others,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/00517642a356c5e04f009ea61c74638d89746392,Edge Cases,2023-08-09 9:07:32,Return error on invalid input in tfl.splitv,,Missing,Unexpected Behavior,add,Assertion Statement,Others,Others,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/40c7fe94824100338ef0c495143b26501b1c367e,Edge Cases,2023-08-08 11:22:26,Return error on invalid input in tfl.topkv2 ,,Missing,Unexpected Behavior,add,Assertion Statement,Others,Others,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/b4aadb17b7aa5ea926b5220008e41f33e582baed,Edge Cases,2023-08-07 14:49:18,Return error on invalid input in tfl.where,,Missing,Unexpected Behavior,add,Assertion Statement,Others,Others,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/9720b405905dee209a3f7d003de21d388e1aaef4,Null Value,2023-07-26 11:32:37, Avoid nullptr as row offsets to cusparseCreateCsr. As of CUDA 12.2 additional input validation allows NULL for the row offsets only when rows=0.,,Improper,Program Crash,update,Macro Checker,Object is Not Null,Others,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/e1ad3b74ad44b883c7b3fdc3a19adcea1d28bfbc,Edge Cases,2023-07-17 7:14:46, [XLA:GPU] Handle edge case in Triton Softmax rewriter where bitcast is an effective scalar. This short-circuit avoids crashing within last_dimension when attempting to match and either the operand or the result of the bitcast has a shape with rank 0.,,Improper,Program Crash,update,If Checker,Valid Tensor Dimension,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/6e153325b66330dafea4e4e8b67b5d56b1a37852,Edge Cases,2023-07-14 7:46:03, [XLA:GPU] Handle edge case in Triton Softmax rewriter where bitcast produces a scalar. This avoids crashing within last_dimension when attempting to match.,,Missing,Program Crash,add,If Checker,Valid Tensor Dimension,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/66e0cb1d9afd251931f4f920c5d7bd638bc882b4,Edge Cases,2023-07-11 5:43:29, validate clip_norm argument in clip_by_norm API. The API clip_by_norm have argument clip_norm which accepts  0-D (scalar) `Tensor` > 0 . But if we pass -ve value for this argument then its not raising intended error and converting the input tensor into Negative which IMO is wrong. Hence I am adding validation code for -ve values to raise value error.,,Missing,Unexpected Behavior,add,If Checker,Valid Integer Argument,Integer Variable,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/84a1cf61dd7239aa5d682083d34e0f7c99039734,Error Message,2023-06-27 5:23:38," [XLA] Do not suggest trying to use TF_XLA_FLAGS when failing to parse XLA_FLAGS. The error can be very misleading, as we never check whether the new flag is actually supported by TF_XLA_FLAGS.",,Misleading,Confusing Error Message,improve,Macro Checker,Improve Error Message,Error Message,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/62cb54f2caf48480dc6b3c1ce9629eaac4688f83,Edge Cases,2023-06-13 3:16:58, Set 2nd output shape for SparseSegmentReduceGradV2 Fixes a debug check failure.,,Missing,Program Crash,add,Macro Checker,Valid Tensor Dimension,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/4377a561b7757ed83757f07532e6564c42c286ba,Edge Cases,2023-06-06 15:17:00, Add a check for group size when sorting grouped AllReduces within a block.,,Missing,Program Crash,add,If Checker,Valid Tensor Dimension,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/178d62a63ea043a4b9969b4cd6f8983eb8eae523,Error Message,2023-05-17 16:28:42, Update check failure to logging a warning for repeated computation placer registration. This is to bypass a duplicated registration issue seen in open-source build during TF/PJRT integration.,,Misleading,Confusing Error Message,improve,If Checker,Improve Error Message,Error Message,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/9a4b6b6bcc7a813162bf0378727950e321aca19c,Type Checking,2023-05-09 14:49:51,Add stricter type checking for tf.math.real (using is_numeric),,Improper,Others,update,Type Checking API,Valid Tensor Type,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/84d7bf6f64fd9c8677f7f26511ce3031fe8d35a6,Type Checking,2023-05-09 14:44:28,Add is_numeric to dtypes.cc to check whether a data type is numeric ,,Missing,Unexpected Behavior,add,Type Checking API,Valid Tensor Type,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/cd34289b744040974ebe81e1b1e88f1c752d68e0,Type Checking,2023-05-09 14:42:57,Update types.h to check if a data type is numeric ,,Missing,Unexpected Behavior,add,Type Checking API,Valid Tensor Type,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/924f80a4fdb34230965a7a8a4476901847463645,Type Checking,2023-05-08 16:20:25,Add stricter type checking for tf.math.real. Fix for tf.math.real so that it only accepts tensors with numeric entries as input.,,Missing,Unexpected Behavior,add,If Checker,Valid Tensor Type,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/47eaa828a1dd4bf50ec4203ef4bbb348b3ef0dd0,Null Value,2023-05-04 5:01:40,Add nullptr check,,Missing,Program Crash,add,If Checker,Object is Not Null,Regular Object,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/8b742f8559e88474735d0a2c03e00da65e40b412,Edge Cases,2023-05-03 13:28:05,Fix check error on shape overflow.,,Missing,Numerical Error,add,Macro Checker,Valid Tensor Dimension,Others,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/8a2e7deb21f02e4072d6b62cf7f447b9264afe01,Type Checking,2023-04-20 14:41:01, Adjust checks for type(Tensor) to isinstance or is_eager/is_symbolic_tensor.,,Improper,Others,update,Type Checking API,Valid Tensor Type,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/ef049bdfc4f307c8b3a9dc480a90a5ff287f3d55,Edge Cases,2023-04-17 19:51:00,Add check for ResizeOutput return value in range.cc,,Missing,Unexpected Behavior,add,Macro Checker,Valid Tensor Dimension,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/c2ff14318050e26302785a49a1719d29ddcc91b4,Edge Cases,2023-04-12 12:01:41," [XNNPACK] Fix incorrect check in slice node. begin+size == input dimension is valid, e.g. input size is 3, begin is 2, size is 1.",,Improper,Program Crash,update,If Checker,Valid Tensor Dimension,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/1610da3f992487bd9a8181d1e83cae99fe1e34d9,Edge Cases,2023-04-10 16:56:07,add more sanity check on AvgPoolGrad op,,Missing,Program Crash,add,Macro Checker,Shape Mismatch Between Tensors,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/edd9fb416e04b8ca4398c4eea65f14dc6704a44a,Edge Cases,2023-04-07 14:45:48, TfLiteTensorCopy returns an error status when src and dest bytes are not equal. So we don't need to check them specifically if we ensure the status of the call to copy (which we should do anyways).,,Unnecessary,Unexpected Behavior,remove,Macro Checker,Shape Mismatch Between Tensors,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/65c5dd69676db159ddd3a1fd7b2f6836dfe37f49,Null Value,2023-03-30 19:40:56, Add nullptr check for external registration init / prepare / invoke /free.,,Improper,Program Crash,add,If Checker,Object is Not Null,Regular Object,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/685418cd85e09bc2117fa15bc1b6a75d21248348,Edge Cases,2023-03-30 1:25:19,maxpooling op should check that ksize must be positive. ,,Missing,Program Crash,add,Macro Checker,Valid Tensor Dimension,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/a0dc73569fc193c1ce26a7bd2d4a8776e7b813ac,Edge Cases,2023-03-22 1:07:32,add check for empty cs_prev_tensor,,Missing,Program Crash,add,Macro Checker,Shape Mismatch Between Tensors,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/2465d4e77654f0d4f7799bc46d5fd5812590acc6,Edge Cases,2023-03-21 21:59:56," Add a check in auto-sharding setup and die if the input mesh shape contains more than two shardable dimensions, which is currently not supported.",,Missing,Unexpected Behavior,add,If Checker,Valid Tensor Dimension,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/c2fc1f2b5a8b8152c43b81cf31394f3e0a2cb837,Null Value,2023-03-17 21:55:45,Add null pointer check,,Missing,Program Crash,add,Macro Checker,Object is Not Null,Regular Object,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/80b65ab79bf8dd6ec03c570b59a1208bb27fec24,Edge Cases,2023-03-13 18:16:22, Small fix to axis check for tfl.pack to tosa. There was an off-by-one error when checking the axis value based on the input rank.,,Improper,Program Crash,update,If Checker,Valid Tensor Dimension,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/8c3822edbb31cf71cedaf49f2167e45c1e2d0b83,Execution Mode,2023-03-13 15:53:59,Update the is_dtensor check to only run in eager mode.,,Missing,Unexpected Behavior,add,If Checker,Tensor is Executed in Eager Mode,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/076f909b70b251daea6c443c9b1929b9745aed20,Edge Cases,2023-03-06 10:36:43,fix boolean expression in length check ,,Improper,Program Crash,update,Macro Checker,Tensor is Not Empty,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/9a0de0ca6a39f3037e1be6ec740829863bcda3e8,Type Checking,2023-03-02 17:28:58,[XLA:GPU] Fix type check in IsMatrixMultiplication,,Improper,Unexpected Behavior,update,Type Checking API,Valid Tensor Type,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/a21ec782601aca6c7e0461093d72596f26229e44,Type Checking,2023-03-02 11:50:47, Use getattr instead of isinstance in tensor_conversion_registry. Using `isinstance` to check if an object is an instance of a Python `typing.Protocol` instead of using `getattr`/`hasattr` has negative performance implications. This change reverts `tensor_conversion_registry.convert()` to use `getattr` for this reason.,,Improper,Performance Degradation,replace,If Checker,Valid Tensor Type,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/ab60b0ee51a8924a0f02b0152cd6a78ba64d3e94,Boundary Value,2023-02-22 14:57:10," [tfg] Fix named-attribute token check. Since the name tokens are being indexed directly, we should check that list of tokens is not empty to prevent an out-of-bounds error.",,Missing,Program Crash,add,Macro Checker,Object is Not Empty,Regular Object,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/48d3e51a1bd128554dd129251a51b6e12918a604,Edge Cases,2023-02-16 17:56:06,Add a check to HandleFromInput to ensure that the resource isn't empty. ,,Missing,Program Crash,add,If Checker,Tensor is Not Empty,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/e99e31597c1b5cc9f0cbc8a3dea71674d81c20b1,Error Message,2023-02-15 15:44:47," Fix GRUCellBlockOp message for invalid rank of x. The validation checks that x is a matrix, so rank must be 2.",,Misleading,Confusing Error Message,improve,Macro Checker,Improve Error Message,Error Message,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/a63f3006f703428ff980748cdbe24d6a13f761e2,Execution Mode,2023-02-14 19:05:54,Skip checking for graph_key in V1 optimizer when running in eager mode.,,Missing,Unexpected Behavior,add,If Checker,Tensor is Executed in Eager Mode,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/5ed3c7881f1f039b1bb502eb68c65250de3bbac8,Edge Cases,2023-02-08 11:56:20,"Fix ThreadPoolHandle 0 nthreads argument. It was reported that a value of 0 leads to a check failure.  Using 0 to indicate `port::MaxParallelism`, for consistency with `Dataset`.",,Missing,Program Crash,add,If Checker,Valid Integer Argument,Integer Variable,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/b677392e4af8095dbde8068b0ceb60bca815e94b,Null Value,2023-02-07 15:11:02," Reject non-PjRt devices in PjRtArray::Reshard(). PjRt buffers traditionally support some degree of interoperability between PjRt clients (e.g., CPU and TPU). However, this is not universally true between arbitrary IFRT clients that may use a non-PjRt-compatible runtime. This change adds extra checks to make sure that non-PjRt devices are not accidentally used in PjRtArray's destination devices.",,Missing,Program Crash,add,If Checker,Object is Not Null,Regular Object,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/dd7d791e02396346d98b7b2c58137d7e51756c0c,Execution Mode,2023-02-03 18:21:11,Add isinstance check for eager execution.,,Missing,Unexpected Behavior,add,If Checker,Tensor is Executed in Eager Mode,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/9d3cce4c7525bad6743f84302e5f6355a3fd8fe5,Edge Cases,2023-01-09 17:12:32, Fix crash in BlockLSTM. This PR tries to address the issue raised in 58175 in addressing the crash of BlockLSTM when invalid input is provided.,,Missing,Program Crash,add,Macro Checker,Valid Tensor Dimension,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/fe4f74018ec6a7dff2718ea59d0f317460c0b3ad,Edge Cases,2023-01-04 15:08:26, Temporarily check for empty proto fields to avoid a crash for old cached traces. We can remove this code once we land all the necessary changes and invalidate all the caches.,,Missing,Program Crash,add,If Checker,Others,Others,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/2c72ca8c439d64268e849ef81cde78f464e95ca2,Edge Cases,2022-12-21 20:45:40,"add rank checking for ADD, MUL, and DIV ",,Missing,Program Crash,add,Macro Checker,Shape Mismatch Between Tensors,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/662128e8ca3411286b234553a7efc1356353d0f5,Edge Cases,2022-12-21 20:22:55, add rank checking for MEAN op. The MEAN op of NNAPI only supports a tensor with rank <= 4. Check the rank of the input tensor before delegating the op.,,Missing,Program Crash,add,If Checker,Valid Tensor Dimension,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/b8431494de404b5f4def7303fb8efd6ba3575ef9,Error Message,2022-12-01 17:41:46,Fix error log messages in data type checks,,Misleading,Confusing Error Message,improve,Macro Checker,Improve Error Message,Error Message,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/1908d7ef706f0f3f8c7a300068355bf795fb3d17,Boundary Value,2022-11-14 4:23:12,"Fix out-of-bounds StringPiece access in ForwardNUTF8CharPositions().  Even a simple invocation like 'int p = 0; ForwardNUTF8CharPositions(""a"", 1, &p);' will cause an invalid access to in[1]. Checking for *pos < size before that access fixes this issue.",,Improper,Program Crash,update,Macro Checker,In Range Tensor Indexing,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/258233804f2bc92b4bdb9714b396aed34b53ff0d,Edge Cases,2022-11-10 12:37:36, sanity check of empty tensor on avgpool3d_grad,,Missing,Program Crash,add,If Checker,Tensor is Not Empty,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/c676a2d7ce8884aad59ca9cd5f45e9b851574cac,Edge Cases,2022-09-30 14:21:09, [tensorflow] Add a check that strided slice op strides argument has reasonable size,,Missing,Program Crash,add,If Checker,Valid Tensor Dimension,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/c56d0cd8ce8239ee369fac1ae6b9cae67fd4c447,Edge Cases,2022-09-29 15:48:46," Avoid signed integer overflow when loading tensors with both 0 and large dims. `TensorShapeBase` ensures `num_elements` doesn't overflow when adding a new dimension. However, this check is insufficient to prevent other functions that use a different multiplication order from hitting an overflow _if any of the dimensions are 0_. For example, Eigen currently multiplies dimensions in reverse order, so dimensions of (0, 4294967296,4294967296) will trigger an overflow in Eigen code. To prevent overflow for all multiplication orders, we can that `num_elements` doesn't overflow if zero dimensions are skipped.",,Missing,Numerical Error,add,If Checker,Valid Integer Argument,Integer Variable,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/e6df768b81e973f2123bc83a18a60773fc4da99e,Type Checking,2022-08-22 19:49:41,[TFG] Fix IsAdd string type check in tf_op_names ,,Insufficient,Unexpected Behavior,extend,If Checker,Valid Object Type,Regular Object,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/eb2ddc0debb7e1b0c9ea68c817ca05fd59dc7914,Edge Cases,2022-07-29 1:48:28," In TF2XLA EnsureShape kernel, don't check whether the original tensor has dynamic shapes as it is much more expensive than just blindly clear out dynamic dimension.",,Unnecessary,Performance Degradation,remove,Macro Checker,Valid Tensor Dimension,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/f22ca1dc88c70a0dc5696c37e6a2de6bcf8d60c7,Edge Cases,2022-06-07 12:33:16," Avoid segfault when init_value is not on default_mesh. To actually fix the segfault in lower level (e.g. directly users of VarHandleOp), I tried to add a validation in SPMD of AssignValueOp, but turns out it only knows the resource_layout is an 'empty' layout without any mesh information. We shall start tracking mesh of empty layout -- but changing the data model at this point is not very easy to do or to justify.",,Improper,Program Crash,relocate,If Checker,Object is Not Empty,Regular Object,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/80bb2f5511e7d2d386c79da52ff517691e19ac54,Edge Cases,2022-05-24 11:40:36," Add check condition for large values of range_max, which is causing session abort.",,Missing,Program Crash,add,If Checker,Valid Integer Argument,Integer Variable,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/580140611a47413dcf6373deb1250c0ed605e873,Backend Type,2022-05-23 16:53:05, [XLA] Do not check fail in proto copy from if the backend config proto and desired proto type do not match.,,Missing,Unexpected Behavior,add,If Checker,Available Backend,Backend,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/a68f57a24203fd49c4a5c4a8f51098d4415a93f8,Edge Cases,2022-05-11 14:21:59, [XNNPACK] Add missing return when output channels do not match in TransposeConvolution Add a check that input channels in the filter and tensor match.,,Missing,Program Crash,add,Macro Checker,Shape Mismatch Between Tensors,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/08370e76523d5bece9ab28e7a9a902932e9a2cb9,Edge Cases,2022-04-20 8:55:36," Fix small issues with DispatchToVectorized. - Changes the base case of template recursion from VecSize=0 to   VecSize=1, because VecSize=0 will never be reached. - Adds handling of `alignment_of(zero/nullptr)`, which should be treated   as infinitely aligned. - Adds checks for preconditions.",,Missing,Program Crash,add,If Checker,Valid Integer Argument,Integer Variable,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/6b9189483513b0c663e23485834be64f51b076e4,Others,2022-04-19 18:46:27, Add device compatibility check for fusion. _FusedMatMul is not supported by GPU currently.,,Missing,Unexpected Behavior,add,If Checker,Others,Others,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/0d5668cbdc6b46d099bd3abd93374c09b2e8121f,Edge Cases,2022-04-06 19:43:53, [XLA:SHAPE_UTIL] Return nullopt instead of a check failure if the input dimensions are not sorted.,,Improper,Program Crash,replace,Macro Checker,Shape Mismatch Between Tensors,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/824af2acfa0cdf897c08d91224aea0958c1afc02,Edge Cases,2022-03-29 13:44:03, Add ndmin check. Added ndmin check to allow maximum 32 ndmin to make same behavior as numpy. Currently it is crashing when very large ndmin is passed.,,Missing,Program Crash,add,If Checker,Valid Tensor Dimension,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/199f1ff12a28d571100b323ec54a5eee47078d8b,Edge Cases,2022-03-17 11:04:54, Add necessary check in fft ops to fix crash. This PR tries to address the issue raised in 55263 where tf.single.rfft2d will crash when length contains negative value.,,Missing,Program Crash,add,Macro Checker,Others,Others,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/9c92b50fc4b95985a0749101976d04896bf19bfe,Edge Cases,2022-03-15 20:59:22," [conv3d_transpose] Fix dim check for bias. Per discussion with @thaink, the previous way to do the dim check for bias is not correct. So we need this change.",,Improper,Program Crash,update,Macro Checker,Valid Tensor Dimension,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/18dd91ccd4b1817cd5c34e40f76823a162bea029,Error Message,2022-03-02 21:18:49," [XLA] Report that real -> complex bitcast_convert is not allowed. The check as exists is bidirectional: it prevents conversions from complex to real and real to complex alike, but the reported error message was unidirectional.",,Misleading,Confusing Error Message,improve,If Checker,Improve Error Message,Error Message,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/4f4a0276a2cf9186c0541072964676159368286e,Type Checking,2022-02-18 2:04:46, Add appropriate PyObject type check for bool. This PR fixes an issue where PyObject type in tf's C bindings does not check if an input is a boolean and will always cast to bool.,,Missing,Unexpected Behavior,add,Type Checking API,Valid Object Type,Regular Object,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/88609e2e22fa5c296de2e27e04d1cc4743b2dfcd,Type Checking,2022-02-17 19:01:10, Add appropriate dtype check for tf.boolean_mask's mask. This PR tries to address the issue raised in 54412 where mask's dtype was checked in tf.boolean_mask and an invalid result has been returned instead.,,Missing,Unexpected Behavior,add,If Checker,Valid Tensor Type,Tensor,,,
